id,stratum,stratum_size,v1_tags,v2_tags,v2_matches,label,text
DM-000911,v1_only,400,분노·불신,,,NONE,어제 오늘 금요일 올린거 뺏으니 내일이나 모레 쳐올리것지 공매도 친게 얼마인데
DM-004803,v1_only,400,충동·중독시그널,,,NONE,@illillii-x2q  올인에 미친 국가 ㅋㅋㅋ
DM-001799,both,180,분노·불신,분노·불신,분노·불신:짜증,분노·불신,진짜 왕 짜증 날씨도 덥은데 이게 뭐하는건지 시원하게 한방 주소
DM-002051,v2_only,80,,불안·공포,불안·공포:쫄,NONE,실적 괜찮음 컨콜만 잘하면 됨 그냥 예상대로임 ㅇㅇ 쫄지들말어
DM-003998,v1_only,400,분노·불신,,,NONE,"✨주식의 시대 제.대.로 배우자!✨삼프로 구독 서비스 🔥박병창&이선엽&김장열&이권희&장우진&박명석을 지금 만나보세요! 👉https://bit.ly/46OIrLB  ======================== 🌄 3PRO 두근두근 오늘의 핫딜! 😍 🥩 최현석 함박 10팩 최초, 3만원대! 👉 https://web.rethinkmall.com/link/20266 👕 폴로티 셋업 2+2 최초, 3만원대! 👉 https://web.rethinkmall.com/link/20268 ======================== 🚨 [투자자라면 놓치지 마세요!] 3PRO 도슨트 총출동! 투자 전문가들과 함께하는 2026 3PRO 테크 탐방 👉 https://bit.ly/3Rbnfec ====================="
DM-001085,neither,3279,,,,NONE,11월   신작 발표 제목 : 코레아  빠징코  신작 발표 ​ 쫌 있으면   영화로 나온다 ​ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ​
DM-000531,v1_only,400,분노·불신,,,NONE,개미분들 빨리 팔고 삼전닉스 가세요
DM-000741,neither,3279,,,,NONE,악재소멸!  흑자전환!!!
DM-002931,v1_only,400,분노·불신,,,NONE,개미들 익명그룹방에서 정보 공유합시다
DM-004298,both,180,분노·불신,분노·불신,분노·불신:사기,NONE,사기/횡령/배임도...
DM-001160,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,하이닉스 샌디스크와 협력 10세대 낸드 양산 FMS 2026 행사에서 샌디스크와 10세대 낸드 첫 선 차세대메모리 기술로 꼽히는 고대역폭 플래시 HBF 표준규격 공개 시장 선점 나선다 호재는 넘쳐 나는데 개관놈들 주가를 왜 누르기 할까요 안타까울 뿐입니다 그래도 언젠가 희망은 찾아 올겁니다
DM-001915,v1_only,400,후회·손실고통,,,NONE,공장 돌려서 적자 확대.ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가동율50프로는 되야 본전일텐데.ㅋㅋㅋㅋㅋㅋ
DM-000381,v2_only,80,,후회·손실고통,후회·손실고통:물려있,NONE,현대차 사서 지금 물려있는 개인들은
DM-003557,v2_only,80,,분노·불신,분노·불신:새끼,분노·불신,양말 이새끼 뭐하는거냐?? 해석좀해봐 씨발
DM-004448,neither,3279,,,,NONE,우리나라같은 아파트 보급하면 홈파티중에 아래층에서 샷건 쏠수도...
DM-001965,v2_only,80,,분노·불신,분노·불신:놈들,NONE,박이사  선대인이는 요즘 뭐하노? 저 두놈들 요즘 뭐하면서 사는지 아시는분? 궁금하다 갑자기 ㅋㅋ
DM-001091,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,외놈들이 환차익 보러 달러 환전하나...  뭐 이리 팔아 제끼는겨..
DM-003609,neither,3279,,,,NONE,하닉 120일 회복한거 아닌가? 지리노 ㅋㅋ
DM-003332,v2_only,80,,분노·불신,분노·불신:어이없,NONE,8만원짜리가 157만원이 된것도 어이없지않냐?
DM-004771,both,180,불안·공포,불안·공포,불안·공포:불안,불안·공포|분노·불신,@김군-b9u  잼버리도 그렇고 이미 세금도둑 많은걸로 유명하자나요. 추경해서 포퓰리즘에 쓴 이정부가 하는 것도 불안할 수 밖에 없구요.
DM-001014,both,180,분노·불신,분노·불신,분노·불신:사기,분노·불신,70 만원이 아니라 5만전자로 회귀 사기꾼들의 말장난으로 개미들만
DM-003399,v2_only,80,,분노·불신,분노·불신:놈들,분노·불신,국짐이든 민주당이든 ㅈ같은 놈들이 돌리지도 못하는 걸
DM-002076,neither,3279,,,,분노·불신,수주 공시 이런거 없나요? 버티고 버티던 사람들에겐 날벼락같은 실적이네... 진짜 이제는 좋은말이 나올래야 나올수가 없네. 에코프로 수주공시좀 내자!
DM-001632,both,180,불안·공포,불안·공포,불안·공포:걱정된,불안·공포,가네..흠 일단 245000원에 비중 좀 덜면 되는거지?..하두 많이 당해서 걱정된다.
DM-004832,neither,3279,,,,NONE,@바보-sshsjxh98927  화짱조라 한국말 못해서 그럼
DM-002385,v1_only,400,후회·손실고통,,,분노·불신,뭔개소리야 레버리지상장이후 전부반토막 난거 해외에서도 레버리지는 잘못이라는데. 당연히정부에서레버리즈를 급하게 상장시킬 이유가 있었냐 그걸 뭐라 하는건데 넌 무슨개소리를 하고다니냐
DM-001879,v2_only,80,,후회·손실고통,후회·손실고통:물려있,NONE,물려있는거랍니다  아실만한분이..
DM-003990,v2_only,80,,불안·공포,불안·공포:두렵,불안·공포,내일도 하락이네요 ㅠㅠ 반도체 얼마나 빠질까 두렵다
DM-003471,v1_only,400,충동·중독시그널,,,NONE,https://x.com/FirstSquawk/status/2084515609648439755 풀매수했대
DM-001002,v1_only,400,분노·불신,,,NONE,한동안 보지마라 세력 장난칠때 들어가면 개피본다
DM-001069,neither,3279,,,,분노·불신,프로그램. 매수로 바뀌었다. 골드만 힘내라 개관 박살내라.
DM-004915,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:몰빵,충동·중독시그널,이거보고 에이직랜드 몰빵쳤습니다^^
DM-001035,both,180,불안·공포|후회·손실고통|분노·불신,불안·공포|후회·손실고통|분노·불신,불안·공포:공포에|후회·손실고통:본전만|분노·불신:개수작,분노·불신,●●● 최소 70만원 이상 오릅니다!! ●●●●● 삼성전자 주주님들 반드시 읽어주십시요. 저는 주식경력 20년차 입니다. 중요한 내용이니 필독 바랍니다. ​ ​ 지금 전세계에서 돈을 가장 많이 버는 기업이 바로 삼성전자입니다 ​ 애플 테슬라 마이크로소프트?? 다 아니고 삼성전자라구요.. ​ 전세계 모든 세력들이 삼성전자에 달려들고 있고 ​ 어떻게든 국내 개미들 죽이고 나서 자기들만 10배 20배 해먹을려고 개수작하는겁니다. ​ ​ 8월에도 7월 처럼 20만원 이하로 또 한번 개미털기~~ ​ 20만원 이하로 17만원대 혹은 최악은 15만원대까지 공포에 투매를 ​ 이렇게 2번은 폭락 시켜야 30만원대 본전만 가도 다 팔고 도망가겠죠? ​ 세력이 노리는게 바로 이겁니다... ​ 앨리어트파동이론에 따르면 5만원에서
DM-003554,neither,3279,,,,분노·불신,누렁이 하닉 20만 폭탄 ㅅㅂ
DM-003619,both,180,충동·중독시그널,충동·중독시그널,충동·중독시그널:못참,충동·중독시그널,하이닉스 레버 정리햇다 이제 더는 못참겟다
DM-002058,neither,3279,,,,후회·손실고통,실적 예상보다 하회 망했다
DM-003079,neither,3279,,,,NONE,"1) 테스터 그룹 가입 — 구글 로그인 상태에서 열어주세요 https://groups.google.com/g/quantum-asset-tester ""그룹 가입"" 버튼 누르면 끝입니다. 승인 안 기다리셔도 됩니다. 2) 가입 후 테스트 참여 → ""테스터가 되기"" → Play 스토어에서 설치 https://play.google.com/apps/testing/com.quantumasset.quantum_asset"
DM-000926,neither,3279,,,,NONE,제반 찌라시 보고 가자
DM-001252,neither,3279,,,,NONE,사리나와요 헬쥐~ 이거 반도체 따까리냐ㅋㅋ
DM-003795,v2_only,80,,후회·손실고통,후회·손실고통:물려서,후회·손실고통,모든 종목이 물려서~ㅠㅠ
DM-002164,neither,3279,,,,분노·불신,쯧쯧~~   그럴 시간에  뭔 일이라도 해라
DM-001028,v1_only,400,분노·불신,,,분노·불신,내일 미장 내리면 떡락인데 뭔 개미털기 같은 소리를 하세요
DM-003915,v1_only,400,분노·불신,,,NONE,"✨주식의 시대 제.대.로 배우자!✨삼프로 구독 서비스 🔥박병창&이선엽&김장열&이권희&장우진&박명석을 지금 만나보세요! 👉https://bit.ly/46OIrLB  ======================== 🌄 3PRO 두근두근 오늘의 핫딜! 😍 💻 LG그램 11세대 테라급 최초, 87만원! 👉 https://web.rethinkmall.com/link/20287 🍳 대상 볶음요리 4+2팩 최초, 2만원대! 👉 https://web.rethinkmall.com/link/20290 ======================== 🚨 [투자자라면 놓치지 마세요!] 3PRO 도슨트 총출동! 투자 전문가들과 함께하는 2026 3PRO 테크 탐방 👉 https://bit.ly/3Rbnfec ================"
DM-002431,neither,3279,,,,NONE,슬슬~~~~ 대반전의 기운이 감돈다!!~~^^♡♡♡♡♡
DM-004070,both,180,분노·불신,분노·불신,분노·불신:작전주,분노·불신,코스피가 작전주 무빙이에요 말이 안되요 최근 흐름이
DM-002204,both,180,분노·불신,분노·불신,분노·불신:쓰레기,분노·불신,쓰레기 쓰레기 혼자 뭐하는거지
